/contrevenants;/contrevenant/adresse;/contrevenant/categorie;/contrevenant/date_infraction;/contrevenant/date_jugement;/contrevenant/description;/contrevenant/etablissement;/contrevenant/montant;/contrevenant/proprietaire;/contrevenant/ville
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3733 Rue Jarry Est ;Supermarché;01 avril 2014;09 octobre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LES ALIMENTS KIM PHAT (JARRY);1 400 $ ;4019636 CANADA INC.;Montréal H1Z 2G1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3240 Rue Dandurand ;Supermarché;01 juin 2015;10 juin 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;GARIEPY & FILS FINS GOURMETS INC.;750 $ ;GARIEPY & FILS FINS GOURMETS INC.;Montréal H1Y 1V5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7030 Boul. Saint-Michel ;Supermarché;05 août 2014;26 avril 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;2 000 $ ;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;Montréal H2A 2Z4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5855 Av. Victoria ;Supermarché;05 février 2015;08 novembre 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;BOULANGERIE KASCHER DE QUALITE;3 000 $ ;BOULANGERIE KASCHER DE QUALITE (1989) INC.;Montréal H3W 2R6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;265 Boul. de la Côte-Vertu ;Supermarché;06 juin 2014;28 octobre 2015;La viande hachée doit être exempte de toute trace d'additifs. Le boeuf ou le veau haché doit être exempt de viande de porc.;INTERMARCHE CÔTE-VERTU #8125;3 000 $ ;9104-5005 QUEBEC INC.;St-Laurent H4N 1C8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5855 Av. Victoria ;Supermarché;10 avril 2014;04 mars 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;BOULANGERIE KASCHER DE QUALITE;3 000 $ ;BOULANGERIE KASCHER DE QUALITE (1989) INC.;Montréal H3W 2R6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7030 Boul. Saint-Michel ;Supermarché;10 janvier 2014;26 avril 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;750 $ ;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;Montréal H2A 2Z4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5252 Rue Paré ;Supermarché;11 octobre 2013;07 juillet 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;MARCHE EPICURE;1 200 $ ;9174-4151 QUEBEC INC.;Montréal H4P 1P5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3733 Rue Jarry Est ;Supermarché;12 février 2014;09 octobre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LES ALIMENTS KIM PHAT (JARRY);1 200 $ ;4019636 CANADA INC.;Montréal H1Z 2G1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3733 Rue Jarry Est ;Supermarché;12 février 2014;09 octobre 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;LES ALIMENTS KIM PHAT (JARRY);3 000 $ ;4019636 CANADA INC.;Montréal H1Z 2G1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7172 Rue Bombardier ;Supermarché;13 mai 2014;15 décembre 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;SUPERMARCHE LAFRANCE;1 500 $ ;SUPERMARCHE LAFRANCE INC.  (Fermé changement d'exploitant);Anjou H1J 2Z9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6333 Rue Beaubien Est ;Supermarché;16 octobre 2013;02 mai 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;MARCHE METRO BEAUBIEN;1 250 $ ;MARCHE BEAUBIEN INC.;Montréal H1M 3E6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6333 Rue Beaubien Est ;Supermarché;16 octobre 2013;02 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;MARCHE METRO BEAUBIEN;1 250 $ ;MARCHE BEAUBIEN INC.;Montréal H1M 3E6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5650 Boul. Métropolitain Est ;Supermarché;23 octobre 2014;16 juillet 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;MAYRAND LIMITEE;1 300 $ ;MAYRAND LIMITEE  (Fermé);St-Léonard H1S 1A7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;12200 Boul. Laurentien ;Supermarché;24 juillet 2013;06 janvier 2015;Les viandes ou aliments carnés détenus ou utilisés par un détaillant ne peuvent provenir de l'exploitant d'un atelier de charcuterie pour fins de vente en gros qui ne détient pas le permis visé au paragraphe b du premier alinéa de l'article 9 de la Loi (permis de transformation de produits carnés).;MARCHE C & T;1 000 $ ;9259-7269 QUEBEC INC.;Montréal H4K 1M9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7030 Boul. Saint-Michel ;Supermarché;24 septembre 2014;26 avril 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;1 000 $ ;LES ALIMENTS ESPOSITO (ST-MICHEL) LTEE;Montréal H2A 2Z4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1293 Av. Laurier Est ;Supermarché;28 septembre 2016;19 octobre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;SUPER MARCHE LAURIER;250 $ ;9220-0393 QUEBEC INC.;Montréal H2J 1H2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3343D Boul. des Sources ;Restaurant service rapide;01 octobre 2013;03 septembre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;KOJAX SOUVLAKI;750 $ ;9149-1688 QUEBEC INC.  (Fermé changement d'exploitant);Dollard-des-Ormeaux H9B 1Z8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1703 Rue Sainte-Catherine Est ;Restaurant service rapide;02 août 2016;04 août 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;MCDONALD'S;1 200 $ ;ENTREPRISES VANA INC.;Montréal H2L 2J5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7180 Boul. Pie-IX ;Restaurant service rapide;02 juillet 2015;20 septembre 2016;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;DOUBLE PIZZA;750 $ ;9250-3606 QUEBEC INC.;Montréal H2A 2G4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4230A Rue Wellington ;Restaurant service rapide;02 octobre 2013;25 novembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;AL PACINO PIZZA;1 300 $ ;9135-8739 QUEBEC INC.  (Fermé);Verdun H4G 1W2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5001 Rue Wellington ;Restaurant service rapide;02 octobre 2013;06 octobre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT BASHA WELLINGTON;1 300 $ ;9231-9466 QUEBEC INC.  (Fermé changement d'exploitant);Verdun H4G 1Y1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5001 Rue Wellington ;Restaurant service rapide;02 octobre 2013;06 octobre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT BASHA WELLINGTON;1 300 $ ;9231-9466 QUEBEC INC.  (Fermé changement d'exploitant);Verdun H4G 1Y1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;11702 Boul. De Salaberry ;Restaurant service rapide;03 décembre 2015;29 septembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PIADA GELATO BAR;1 250 $ ;PIADA GELATO BAR INC.;Dollard-des-Ormeaux H9B 2R8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3343E Boul. des Sources ;Restaurant service rapide;03 juillet 2013;13 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;9242-2898 QUEBEC INC. (TERIYAKI);1 500 $ ;9242-2898 QUEBEC INC.  (Fermé changement d'exploitant);Dollard-des-Ormeaux H9B 1Z8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;700 Boul. René-Lévesque Ouest ;Restaurant service rapide;04 août 2015;22 juin 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;CAFE SUPREME;1 000 $ ;9185-1550 QUEBEC INC.;Montréal H3B 1X8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7401 Boul. Newman ;Restaurant service rapide;04 juin 2015;25 mai 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;CHEZ PING;1 950 $ ;9223-7494 QUEBEC INC.  (Fermé changement d'exploitant);LaSalle H8N 1X3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1111 Rue Saint-Urbain ;Restaurant service rapide;04 novembre 2013;05 mars 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT ZHENGQINGQIAO;1 750 $ ;9212-9709 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2Z 1Y6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1802 Boul. Sunnybrooke ;Restaurant service rapide;04 novembre 2015;17 février 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PIZZERIA LION;1 000 $ ;9288-7405 QUEBEC INC.;Dollard-des-Ormeaux H9B 2X3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1802 Boul. Sunnybrooke ;Restaurant service rapide;04 novembre 2015;17 février 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;PIZZERIA LION;1 000 $ ;9288-7405 QUEBEC INC.;Dollard-des-Ormeaux H9B 2X3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6700 Ch. de la Côte-des-Neiges ;Restaurant service rapide;04 octobre 2016;01 novembre 2016;"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.";PITA BURGER;250 $ ;DAKHALLAH BOTTROS;Montréal H3S 2B2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1455 Rue Peel ;Restaurant service rapide;04 septembre 2015;30 janvier 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;AU VIEUX DULUTH EXPRESS;1 000 $ ;9208-8707 QUEBEC INC.  (Fermé);Montréal H3A 1T5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;14870 Boul. de Pierrefonds ;Restaurant service rapide;05 août 2014;11 novembre 2015;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;RESTAURANT AMIR;1 600 $ ;9231-0069 QUEBEC INC.;Pierrefonds H9H 4Y6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;14870 Boul. de Pierrefonds ;Restaurant service rapide;05 août 2014;11 novembre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT AMIR;1 600 $ ;9231-0069 QUEBEC INC.;Pierrefonds H9H 4Y6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2020 Rue Gauthier ;Restaurant service rapide;05 décembre 2012;05 janvier 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;PLANETE-PAIN;1 750 $ ;SIDIBE SEGA;Montréal H2K 1A7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7999 Boul. des Galeries-d'Anjou ;Restaurant service rapide;05 décembre 2013;27 janvier 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;THAI EXPRESS;1 200 $ ;9188-8727 QUEBEC INC.;Anjou H1M 1W9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4451 Boul. Saint-Laurent ;Restaurant service rapide;05 décembre 2014;28 octobre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT BELLA DONNA;1 500 $ ;PIZZA BELLA DONA S.S. INC.  (Fermé changement d'exploitant);Montréal H2W 1Z8
